position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,1366.0653481716813,0.98,304.1620170057141,478928.0109099329,1400.4791748787934,1356.5869692484573,23534.922909450757,503863.4129942625,2.4749999999999996,0.1097,1443.15,161.52581457810777,1488.8600000000001,30.666085467460682,1273.15,0.5,5.857308670322736e-06,-0.0015413970185059831,0.0038,2.836116762527613,0.21756717643842713,165.07937133202412,2.174999999999998,11.957375849629729,6850.162852527782
10.0,1366.056261561647,0.98,283.6643824385768,446686.05013766105,1306.1136930719572,1356.5791227284744,21950.948072858813,469943.1119035918,2.3084416954889253,0.10975857308670324,1443.134586029815,161.61668641486946,1488.8600000000001,32.8786998087426,1273.15,0.5,5.462992138194205e-06,-0.0014376295100511068,0.0038,2.836043345829603,0.23363887003630301,165.07937133202412,2.174999999999998,11.975579620906867,7347.268893824592
20.0,1366.0477867650911,0.98,242.2178831068181,381446.76212847396,1115.2868230673603,1356.5718044511007,18745.30943455772,401307.35838609905,1.9713386202355105,0.10981320300808518,1443.1202097347145,161.7014940966143,1488.8600000000001,38.50102704470822,1273.15,0.5,4.6651156029977075e-06,-0.0012276620007888703,0.0038,2.835974873647974,0.2745930175674228,165.07937133202412,2.174999999999998,11.992574113098119,8605.124845914223
30.0,1366.0405497983413,0.98,257.6980236678015,405849.0749218744,1186.57455887895,1356.5655550256897,19944.809490851072,426980.4589716044,2.0974956119901,0.10985985416411516,1443.1079331147066,161.77395632290987,1488.8600000000001,36.18532553684476,1273.15,0.5,4.963560123428208e-06,-0.0013062000324811074,0.0038,2.835916403493964,0.2578424642946022,165.07937133202412,2.174999999999998,12.007098926590148,8092.277218521281
40.0,1366.0328499328457,0.98,249.99220960597998,393738.0069300356,1151.1031009296914,1356.558905810563,19349.94553408538,414239.0555650507,2.0349494761940106,0.10990948976534944,1443.0948711143817,161.8510955271005,1488.8600000000001,37.29751643461888,1273.15,0.5,4.815443926219548e-06,-0.0012672220858472496,0.0038,2.8358541943919886,0.26606898261187284,165.07937133202412,2.174999999999998,12.02256548020266,8344.439208683883
50.0,1366.025379912247,0.98,259.27699047823694,408386.5346616796,1193.865531885405,1356.5524550215594,20070.15319714846,429650.55339071347,2.1107033824490418,0.10995764420461163,1443.0821988935231,161.92597356425688,1488.8600000000001,35.95889510723214,1273.15,0.5,4.994599422548357e-06,-0.0013143682690916728,0.0038,2.8357938432325036,0.25644340660077664,165.07937133202412,2.174999999999998,12.037582855808687,8049.337876041723
60.0,1366.0176320527708,0.98,257.95006201764545,406322.27920735726,1187.766018710032,1356.5457642442234,19969.03277772961,427479.0780037969,2.100082137365912,0.11000759019883712,1443.0690552108322,162.0036797886544,1488.8600000000001,36.140758583453845,1273.15,0.5,4.969356467249034e-06,-0.0013077253861181668,0.0038,2.835731248389038,0.25789382866385896,165.07937133202412,2.174999999999998,12.05317180351358,8093.853373130684
70.0,1366.0099234306313,0.98,265.8624559303024,418812.3064744759,1224.2104227843636,1356.5391072916334,20583.200899160474,440619.71779642074,2.1646858724801015,0.11005728376350961,1443.055977956971,162.08103615445762,1488.8600000000001,35.06215959408811,1273.15,0.5,5.122113705432945e-06,-0.0013479246593244593,0.0038,2.835668971562462,0.2501698961455064,165.07937133202412,2.174999999999998,12.068694964892517,7856.601175550015
80.0,1366.0019779294078,0.98,259.7835712753435,409262.8942142899,1196.2299130660974,1356.5322457149932,20114.217948177255,430573.34207553323,2.1153777099096653,0.11010850490056394,1443.0424987103777,162.16081522758265,1488.8600000000001,35.87943712199101,1273.15,0.5,5.005326651446265e-06,-0.0013171912240648065,0.0038,2.835604782088296,0.2562461987308011,165.07937133202412,2.174999999999998,12.084708883232581,8043.283978800599
90.0,1365.994213671206,0.98,253.9879205107564,400157.87885634694,1169.5528750048077,1356.525540595576,19667.053009365616,420994.4847407174,2.068363184304278,0.1101585581670784,1443.029326798137,162.2388192412008,1488.8600000000001,36.694987663636404,1273.15,0.5,4.8939744026580796e-06,-0.0012878880006994946,0.0038,2.8355420578687984,0.26232250131609586,165.07937133202412,2.174999999999998,12.100370995600914,8229.669813232638
100.0,1365.9866222200753,0.98,268.5571936334451,423138.07602938137,1236.6514867460455,1356.518984652296,20796.823204937835,445171.55072106526,2.187193406556447,0.11020749791110497,1443.0164479181299,162.31512994822015,1488.8600000000001,34.70134890881055,1273.15,0.5,5.175027828125328e-06,-0.0013618494284540336,0.0038,2.835480730682859,0.24791382475106272,165.07937133202412,2.174999999999998,12.115697412390018,7787.213472850654
110.0,1365.978594887004,0.98,281.5544608934975,443645.7115181201,1296.5130540562707,1356.5120522209793,21805.123863668647,466747.348435845,2.293250925627731,0.11025924818938622,1443.0028294238452,162.39586829559158,1488.8600000000001,33.09649226945782,1273.15,0.5,5.425842044368784e-06,-0.0014278531695707327,0.0038,2.8354158833171157,0.23637208865839565,165.07937133202412,2.174999999999998,12.131917704798202,7431.623515063274
120.0,1365.9701785912555,0.98,268.743404080773,423488.5097383806,1237.5319801752112,1356.504783811396,20814.770964310366,445540.81268286624,2.189110199719257,0.1103135066098299,1442.9885508921495,162.48056969251417,1488.8600000000001,34.670964276580875,1273.15,0.5,5.179320422575923e-06,-0.0013629790585726114,0.0038,2.8353478949699307,0.247951495409279,165.07937133202412,2.174999999999998,12.148939266168417,7788.372397494765
130.0,1365.9621447755044,0.98,279.5943347286595,440616.51039649313,1287.5109428548135,1356.4978456502092,21656.99294771694,463561.0142870649,2.277702386323611,0.11036529981405566,1442.9749211015637,162.56147045064478,1488.8600000000001,33.322422625403384,1273.15,0.5,5.38880156443934e-06,-0.001418105674852458,0.0038,2.835282997494989,0.23826112514291325,165.07937133202412,2.174999999999998,12.165201913967222,7489.891953670667
140.0,1365.953786117788,0.98,341.8901967673506,538826.3000751631,1574.393583645261,1356.4906268809766,26484.626695831008,566885.3203546393,2.7854516597809726,0.11041918782970005,1442.960740044815,162.64569283200257,1488.8600000000001,27.248206324260273,1273.15,0.5,6.5899253971625845e-06,-0.0017341908939901539,0.0038,2.8352154771058253,0.19441913680415307,165.07937133202412,2.174999999999998,12.182137310282458,6131.1054523164785
150.0,1365.9435645037627,0.98,327.24304363319584,515785.26015923085,1506.9612938954274,1356.4817991164193,25352.651782812627,542644.873235939,2.666421281816158,0.11048508708367168,1442.9433981358752,162.74875647095394,1488.8600000000001,28.464579865740124,1273.15,0.5,6.308135178982008e-06,-0.001660035573416318,0.0038,2.835132909568709,0.20332181150325368,165.07937133202412,2.174999999999998,12.202868274175561,6408.062868723038
160.0,1365.9337801040008,0.98,342.2405292335141,539466.839020023,1576.0424323918394,1356.47334884894,26517.233362759693,567560.1148151745,2.788926297849042,0.1105481684354615,1442.926797780141,162.8474839100378,1488.8600000000001,27.214258616479725,1273.15,0.5,6.5977697441471975e-06,-0.00173625519582821,0.0038,2.835053875408533,0.19441977004609898,165.07937133202412,2.174999999999998,12.222734208378498,6131.125169673771
170.0,1365.9235465952413,0.98,331.58282429662347,522711.1342868273,1526.9805385141042,1356.4645106079297,25694.171170841517,549932.2859961829,2.7023839300413743,0.11061414613290298,1442.9094352281827,162.9508186061996,1488.8600000000001,28.085780369039995,1273.15,0.5,6.392849855308951e-06,-0.0016823289092918292,0.0038,2.8349712152914153,0.20084042066801147,165.07937133202412,2.174999999999998,12.24353472749569,6330.918247925036
180.0,1365.91363106164,0.98,362.56399552820346,571596.6540643057,1669.671362207454,1356.4559468889945,28097.757027107564,601364.0824536207,2.955204824182443,0.11067807463145607,1442.8926119390899,163.05101630070828,1488.8600000000001,25.68301219289005,1273.15,0.5,6.9907339237913255e-06,-0.0018396668220503488,0.0038,2.834891125294464,0.18361847559275726,165.07937133202412,2.174999999999998,12.263711111810254,5794.45242156516
190.0,1365.9027883387726,0.98,381.2901467879476,601172.5810907307,1755.930019483388,1356.4465822753402,29552.287582812907,632480.7986930271,3.108213652128142,0.11074798197069398,1442.8742152708694,163.16066658258893,1488.8600000000001,24.418707986820248,1273.15,0.5,7.352459357948067e-06,-0.0019348577257758072,0.0038,2.8348035481057536,0.17463229256920212,165.07937133202412,2.174999999999998,12.285799163680073,5513.839250613242
200.0,1365.8913847437448,0.98,378.7912111129204,597288.3590380485,1744.4441934655092,1356.4367331229198,29362.05655634757,628394.8597878616,3.088234376281018,0.11082150656427346,1442.8548666936117,163.27608274252634,1488.8600000000001,24.576684371788335,1273.15,0.5,7.304961157526224e-06,-0.0019223581993490064,0.0038,2.834711442895194,0.17589633213367448,165.07937133202412,2.174999999999998,12.309057978608683,5553.339075386365
210.0,1365.8800549894481,0.98,385.9125795172521,608574.0150488489,1777.2627813206304,1356.426947617731,29917.564626706746,640268.8424568763,3.1466904118169454,0.11089455617584873,1442.8356431116183,163.390846973484,1488.8600000000001,24.12012355805293,1273.15,0.5,7.4429937668502e-06,-0.001958682570223737,0.0038,2.8346199362880733,0.1727297573433171,165.07937133202412,2.174999999999998,12.332194828064535,5454.370560383522
220.0,1365.8685113269134,0.98,383.35124196334294,604592.0309520493,1765.4897804764846,1356.4169772286818,29722.53593477338,636080.0566672991,3.126206863030126,0.11096898611351723,1442.8160562859161,163.5078758893433,1488.8600000000001,24.278163556457454,1273.15,0.5,7.3942999925243105e-06,-0.0019458684190853449,0.0038,2.834526704273958,0.1739956607544176,165.07937133202412,2.174999999999998,12.355797884931375,5493.941877456419
230.0,1365.8570433613786,0.98,406.49499477796394,641152.8131484191,1872.1003131780324,1356.407072088648,31520.67682014304,674545.5902817402,3.3153656337984927,0.11104292911344248,1442.7965976017254,163.62423534609442,1488.8600000000001,22.892968654261644,1273.15,0.5,7.841453919040943e-06,-0.0020635405050107745,0.0038,2.834434085880654,0.16412780670771288,165.07937133202412,2.174999999999998,12.379275546024301,5185.2509343926995
240.0,1365.8448820873546,0.98,429.0516414488715,676798.1938107355,1976.0111577877017,1356.3965679794528,33273.94926567832,712048.1542342015,3.499810564389965,0.11112134365263289,1442.7759621966752,163.7477362104932,1488.8600000000001,21.686477063707787,1273.15,0.5,8.277413521054329e-06,-0.0021782667160669287,0.0038,2.834335870597412,0.15555594973085654,165.07937133202412,2.174999999999998,12.40420458732749,4916.691130250623
250.0,1365.8320448993306,0.98,402.4150058696508,634847.581792375,1853.3618732597183,1356.3854799004514,31212.347034154183,667913.290699789,3.2830019728541697,0.11120411778784343,1442.7541795295144,163.87822051214965,1488.8600000000001,23.11864633635314,1273.15,0.5,7.764354798835557e-06,-0.0020432512628514622,0.0038,2.8342321993301933,0.1660160469444658,165.07937133202412,2.174999999999998,12.43055493765089,5244.359759213803
