position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,1361.36413834911,0.98,288.62687515736116,472369.1886557515,1273.672243420858,1352.5162722075117,23444.834315752454,497087.6952149248,2.475,0.1097,1435.15,185.89726783663494,1488.8600000000001,29.25832281755739,1273.15,0.5,5.780190481673154e-06,-0.0015211027583350405,0.0038,2.6702949325226157,0.21756717643842713,165.03230131050273,2.2789999999999977,11.957375849629729,7177.710869384282
10.0,1361.3552279966118,0.98,269.1780336721662,440571.4164450926,1187.8539056074294,1352.5085355699541,21867.046162551094,463626.3165132511,2.3084545523289473,0.10975780190481674,1435.1347889724168,186.00141587175884,1488.8600000000001,31.36918978993862,1273.15,0.5,5.391097883854072e-06,-0.001418709969435282,0.0038,2.670226937285603,0.23363887003630301,165.03230131050273,2.2789999999999977,11.975339830573759,7698.586578862641
20.0,1361.3469175407338,0.98,229.85167304636016,376230.6120665542,1014.3163076931804,1352.5013197342316,18673.923698688704,395918.8520729361,1.9713772717052815,0.10981171288365528,1435.1206018727225,186.0986140147714,1488.8600000000001,36.73287199401191,1273.15,0.5,4.603788028342722e-06,-0.001211523165353348,0.0038,2.670163521042279,0.2745930175674228,165.03230131050273,2.2789999999999977,11.992110351718768,9016.588286822303
30.0,1361.3398208090832,0.98,244.5397809001978,400296.12998218316,1079.1386323300665,1352.4951576996662,19868.696325668374,421243.9649401816,2.097519772739487,0.10985775076393871,1435.108486641069,186.1816639476765,1488.8600000000001,34.52379801830284,1273.15,0.5,4.89827123070656e-06,-0.0012890187449227791,0.0038,2.6701093674912153,0.2578424642946022,165.03230131050273,2.2789999999999977,12.006443788303853,8479.21829011954
40.0,1361.3322702075448,0.98,237.227933781496,388351.27670063917,1046.8769908052554,1352.4886015167601,19276.12195170379,408674.2756431482,2.034974842043821,0.10990673347624577,1435.0955964536197,186.27007326584413,1488.8600000000001,35.584886592860975,1273.15,0.5,4.75210949881962e-06,-0.001250555131268321,0.0038,2.6700517514582147,0.26606898261187284,165.03230131050273,2.2789999999999977,12.021706275978886,8743.437681191064
50.0,1361.3249449861971,0.98,246.03751875781956,402797.2354111393,1085.7584258437005,1352.4822409753792,19993.468792878393,423876.46262986143,2.110717622172439,0.10995425457123396,1435.083090902307,186.35589089709984,1488.8600000000001,34.307928361787525,1273.15,0.5,4.928882203851521e-06,-0.0012970742641714528,0.0038,2.669995856106748,0.25644340660077664,165.03230131050273,2.2789999999999977,12.036525371310564,8434.225756091533
60.0,1361.3173473528948,0.98,244.77824572806705,400760.73809874913,1080.2065396056453,1352.4756438385455,19892.704276681117,421733.6489150359,2.1000929549219323,0.11000354339327248,1435.0701201596653,186.44494914762885,1488.8600000000001,34.4814970231384,1273.15,0.5,4.903965329912249e-06,-0.0012905171920821708,0.0038,2.669937883025418,0.25789382866385896,165.03230131050273,2.2789999999999977,12.051908242799563,8480.869810282678
70.0,1361.3097882059535,0.98,252.2855758943698,413077.78593889053,1113.3417779718866,1352.4690800611381,20504.4183695385,434695.5460864009,2.1646856445670064,0.1100525830465716,1435.0572149877444,186.53360603168295,1488.8600000000001,33.4525935233147,1273.15,0.5,5.054687698169537e-06,-0.0013301809732025097,0.0038,2.669880204539443,0.2501698961455064,165.03230131050273,2.2789999999999977,12.067226010285307,8232.273139806199
80.0,1361.3019968118244,0.98,246.51747992699384,403659.3724822699,1087.8924612742069,1352.4623145568373,20037.236476768616,424784.50142031274,2.1153779831677193,0.1101031299235533,1435.0439131780124,186.62503879277557,1488.8600000000001,34.23234502281057,1273.15,0.5,4.939440978941069e-06,-0.0012998528891950182,0.0038,2.669820754909261,0.2562461987308011,165.03230131050273,2.2789999999999977,12.083027788073018,8427.882385143246
90.0,1361.2943831413015,0.98,241.0181174538331,394679.23414783616,1063.628701875921,1352.455703315096,19591.787664025192,415334.6505137373,2.0683638175429246,0.1101525243333427,1435.0309146491204,186.71443696193447,1488.8600000000001,35.01045046295475,1273.15,0.5,4.829557071555671e-06,-0.0012709360714620187,0.0038,2.6697626622901995,0.26232250131609586,165.03230131050273,2.2789999999999977,12.098482257233435,8623.180461773416
100.0,1361.2869389227178,0.98,254.84169915080727,417341.6588389075,1124.6384075908197,1352.4492391573804,20717.072026887272,439183.36927338556,2.1871768113645813,0.11020081990405826,1435.0182052884059,186.80189424524798,1488.8600000000001,33.10859396331803,1273.15,0.5,5.10687260058927e-06,-0.0013439138422603341,0.0038,2.6697058635048023,0.24791382475106272,165.03230131050273,2.2789999999999977,12.11360532469527,8159.567588334086
110.0,1361.2790673357688,0.98,267.17353127396143,437565.2921335338,1179.065754626329,1352.4424038341026,21721.346678164406,460465.70456632454,2.293216544464972,0.11025188863006416,1435.0047661499832,186.89442490468505,1488.8600000000001,31.577632364565666,1273.15,0.5,5.35434593994609e-06,-0.001409038405248971,0.0038,2.669645804910354,0.23637208865839565,165.03230131050273,2.2789999999999977,12.129610109951544,7786.974708427218
120.0,1361.2708143913678,0.98,255.01786288044062,417685.68697410106,1125.4273761753184,1352.4352372892224,20734.85811530173,439545.9724655781,2.189083488962582,0.11030543208946363,1434.9906757659307,186.99149642109478,1488.8600000000001,33.07975659154602,1273.15,0.5,5.1110889904543e-06,-0.0013450234185406053,0.0038,2.669582837715141,0.247951495409279,165.03230131050273,2.2789999999999977,12.1464052044058,8160.781928225549
130.0,1361.2629364788875,0.98,265.3131871574294,434576.303200835,1170.8678512527167,1352.4283963425917,21573.70641846172,457320.8774705494,2.2776596419943504,0.11035654297936817,1434.9772255317453,187.0842122117763,1488.8600000000001,31.793314347023127,1273.15,0.5,5.317777544026235e-06,-0.0013994151431647988,0.0038,2.669522732917369,0.23826112514291325,165.03230131050273,2.2789999999999977,12.162451346494718,7848.029316053079
140.0,1361.254740079574,0.98,324.4186525498714,531425.4812891751,1431.7167874048341,1352.4212787637005,26382.05609888141,559239.2541754614,2.785323348849772,0.11040972075480844,1434.9632313803136,187.1807337954353,1488.8600000000001,25.99854304289618,1273.15,0.5,6.502895656198775e-06,-0.001711288330578625,0.0038,2.66946019928126,0.19441913680415307,165.03230131050273,2.2789999999999977,12.17916098342856,6424.270954404255
150.0,1361.2447171581625,0.98,310.5214231493278,508702.67575977446,1370.3945522616018,1352.4125749780205,25254.542727545366,535327.6130395815,2.666306418615084,0.11047474971137043,1434.9461184970078,187.29884442842334,1488.8600000000001,27.15904986309396,1273.15,0.5,6.224848458842507e-06,-0.0016381180154848702,0.0038,2.6693837318511666,0.20332181150325368,165.03230131050273,2.2789999999999977,12.19961477114864,6714.471392101058
160.0,1361.2351229197757,0.98,324.7501900943854,532054.6326215414,1433.1976970488176,1352.4042433588584,26414.387475085285,559902.2177936755,2.7887816299110915,0.11053699819595886,1434.9297373168529,187.4119856999017,1488.8600000000001,25.966303061083764,1273.15,0.5,6.510604670186821e-06,-0.001713317018470216,0.0038,2.6693105364786045,0.19441977004609898,165.03230131050273,2.2789999999999977,12.21921488510411,6424.291614568516
170.0,1361.2250883853815,0.98,314.63808147364,515530.11332343984,1388.5794093654865,1352.3955292862204,25594.55522612742,542513.2479589328,2.702247504640641,0.11060210424266073,1434.9126041466682,187.53040537901794,1488.8600000000001,26.79782249741945,1273.15,0.5,6.308403813290889e-06,-0.0016601062666554971,0.0038,2.6692339836412615,0.20084042066801147,165.03230131050273,2.2789999999999977,12.239736616942963,6633.638017021221
180.0,1361.2153656262642,0.98,344.0312890237425,563735.6734075965,1518.3085454804261,1352.3870858630823,27988.396172357963,593242.378125435,2.955010388895551,0.11066518828079364,1434.8960030840017,187.64522983328663,1488.8600000000001,24.50561569785876,1273.15,0.5,6.898287727446506e-06,-0.0018153388756438175,0.0038,2.6691598108746244,0.18361847559275726,165.03230131050273,2.2789999999999977,12.25964233298858,6071.52049137793
190.0,1361.2047338627458,0.98,361.79697944509905,592898.8258311673,1596.7242885126475,1352.377852932546,29436.953892840444,623932.5040125203,3.107975972149491,0.1107341711580681,1434.8778496952452,187.77088433228857,1488.8600000000001,23.299520209408964,1273.15,0.5,7.255155892242221e-06,-0.0019092515505900582,0.0038,2.669078705269108,0.17463229256920212,165.03230131050273,2.2789999999999977,12.281433428414841,5777.489495240266
200.0,1361.193552254269,0.98,359.42561080290363,589067.0368831796,1586.269812816311,1352.3681423753894,29247.401504284542,619900.7082002804,3.087991196263522,0.11080672271699053,1434.8587571797393,187.90314430538973,1488.8600000000001,23.45030939889858,1273.15,0.5,7.208273726374321e-06,-0.001896914138519558,0.0038,2.6689934070857277,0.17589633213367448,165.03230131050273,2.2789999999999977,12.304378953295874,5818.878047266908
210.0,1361.182443069489,0.98,366.1812831215782,600193.9771903093,1616.0961724869671,1352.358494586575,29800.559715882424,631610.6330786787,3.1464232551138474,0.11087880545425427,1434.839788038354,188.03465633799348,1488.8600000000001,23.014814950836726,1273.15,0.5,7.344438022885342e-06,-0.0019327468481277216,0.0038,2.668908663388347,0.1727297573433171,165.03230131050273,2.2789999999999977,12.327203749834695,5715.177244650135
220.0,1361.171124205611,0.98,363.7507122371791,596265.7779331912,1605.3804951427862,1352.3486645711096,29606.228535186117,627477.3869635201,3.125934256650337,0.11095224983448312,1434.8204605698727,188.16876213403745,1488.8600000000001,23.165666014694665,1273.15,0.5,7.296376181718819e-06,-0.001920098995189163,0.0038,2.6688223222621783,0.1739956607544176,165.03230131050273,2.2789999999999977,12.35048795966674,5756.640707458932
230.0,1361.1598795854543,0.98,385.70690167844054,632315.3392060269,1702.294059741383,1352.3388989031273,31396.93595879117,665414.5692245595,3.3150342820765553,0.11102521359630031,1434.8012595799207,188.30209989050982,1488.8600000000001,21.844223260368157,1273.15,0.5,7.737513916403538e-06,-0.002036187872737773,0.0038,2.668736549528281,0.16412780670771288,165.03230131050273,2.2789999999999977,12.373648051820748,5433.189369876303
