dphi_dx,flowgofluxconductionheat,viscosity,flowgofluxforcedconvectionheat,crust_temperature,effective_cover_fraction,current_time,slope,channel_depth,tho_b,effective_radiation_temperature,mean_velocity,dtemp_dx,crystal_fraction,core_temperature,characteristic_surface_temperature,tho_0,dphi_dtemp,channel_width,effusion_rate,position,flowgofluxradiationheat,heat_budget
7.529837344788084e-05,18139.782916366923,376.93722536761,19023.277465086758,773.15,0.9890521920156574,1.0,0.3283421976256475,0.7,2367.669149577449,785.0817151390137,1.4561079680610158,-0.003764918672394042,0.104,1387.15,777.5087249983916,10.271028956630577,0.02,4.5,4.586740099392199,0.0,92082.8236869461,129245.88406839978
0.00010315283502193673,25156.78534840637,378.4931415462151,26298.30184236042,773.15,0.9920942461214255,7.8676226072138125,0.23628702150406763,0.7,1718.7673487088396,781.8196152192727,1.049890216835027,-0.005157641751096837,0.1047529837344788,1387.1123508132762,775.9417065472129,10.484325037293022,0.02,6.241115262534336,4.586740099392199,10.0,125601.58410373404,177056.67129450082
0.00011431512306858235,27967.422013297415,380.6379169803893,29214.185516679277,773.15,0.9928865114698995,17.392428000815585,0.21363049285340846,0.7,1556.6135704227802,780.9622470454032,0.9443002669773359,-0.005715756153429117,0.10578451208469818,1387.0607743957653,775.533119600491,10.781162311773494,0.02,6.938985495841055,4.586740099392199,20.0,139034.57174265356,196216.17927263025
7.71520385628942e-05,18603.469705173917,383.0328843979246,19508.444660213685,773.15,0.989326133164792,27.98227992578598,0.32534722498266566,0.7,2346.843611723715,784.7834594026162,1.4194763475991818,-0.0038576019281447104,0.106927663315384,1387.003616834231,777.3658629922776,11.116434510813294,0.02,4.6161289459715595,4.586740099392199,30.0,94315.69296722698,132427.60733261457
7.661036556799414e-05,18466.15504422915,384.6601123308311,19367.25902820028,773.15,0.9892478624484057,35.027131371823394,0.32930227044370625,0.7,2374.340528278227,784.8652118079908,1.4299417326609742,-0.003830518278399707,0.10769918370101295,1386.9650408149496,777.4056636842677,11.34649328629282,0.02,4.582344655457443,4.586740099392199,40.0,93664.43871309265,131497.85278552206
0.00014173214966860435,34869.146696723896,386.28463350298233,36376.78878474969,773.15,0.9942917143867336,42.020423316237824,0.17398000806558428,0.7,1270.960878901966,779.4344207850679,0.757227532120974,-0.007086607483430218,0.10846528735669289,1386.9267356321657,774.8082030491456,11.577973657583334,0.02,8.653258866487901,4.586740099392199,50.0,172030.1958085718,243276.1312900454
0.00011522045857781782,28188.124814768886,389.3131582790584,29452.63531125877,773.15,0.9929443579031885,55.226493586807976,0.216990545828271,0.7,1580.714096175072,780.893771148214,0.9365940269997761,-0.005761022928890891,0.10988260885337893,1386.8558695573313,775.5016297346344,12.014261149356692,0.02,6.996079056007195,4.586740099392199,60.0,140129.38217278462,197770.14229881228
8.402503033480686e-05,20329.600009047226,391.79749354413553,21305.055785409695,773.15,0.9902312315699858,65.90347818389466,0.3041628819103655,0.7,2198.9480825001715,783.8088501134408,1.2985179740308537,-0.004201251516740343,0.11103481343915711,1386.7982593280424,776.8976271032213,12.376697465988562,0.02,5.04612642051798,4.586740099392199,70.0,102590.09744026065,144224.75323471756
9.839749471135718e-05,23947.88588625258,393.6219470074479,25059.390220047044,773.15,0.991701617523336,73.60456526931871,0.25871389322865257,0.7,1878.4088699078352,782.2307575598144,1.1022494352175134,-0.004919874735567859,0.11187506374250518,1386.756246812875,776.1405019770414,12.645431601402802,0.02,5.944648867052066,4.586740099392199,80.0,119887.09188277368,168894.36798907327
9.202040467016142e-05,22340.575015724124,395.77225142850557,23394.117218154144,773.15,0.9911079557505845,82.67692192516644,0.2791976376051825,0.7,2023.3951195855254,782.8666181890518,1.1814569324197595,-0.004601020233508071,0.11285903868961875,1386.7070480655193,776.4455130240577,12.96491398312335,0.02,5.546106401741049,4.586740099392199,90.0,112213.72031927014,157948.4125531484
