flowgofluxradiationheat,mean_velocity,flowgofluxconductionheat,effective_radiation_temperature,tho_0,position,effusion_rate,slope,channel_width,core_temperature,dphi_dx,current_time,characteristic_surface_temperature,tho_b,heat_budget,viscosity,crust_temperature,flowgofluxforcedconvectionheat,crystal_fraction,channel_depth,dtemp_dx,effective_cover_fraction,dphi_dtemp
108209.76078785924,5.843505714944572,9069.891458183462,817.4041056547431,10.271028956630577,0.0,36.8140860041508,0.3283421976256475,4.5,1387.15,9.941016707616593e-06,1.0,794.0625789145998,4735.338299154898,136953.08534973304,376.93722536761,773.15,19673.433103690335,0.104,1.4,-0.0016642327077483136,0.9567846842238821,0.005973333333333333
141279.77073850262,4.2334294830318555,12519.05251536576,806.1111255528816,10.29902912553759,10.0,36.8140860041508,0.23628702150406763,6.211459485187486,1387.1333576729226,1.311134696711709e-05,2.711301483701014,788.0641789206308,3437.534697417679,180629.35342033676,377.2292809834155,773.15,26830.53016646837,0.10409941016707616,1.4,-0.0021949799610129057,0.9685020040642731,0.005973333333333333
153964.3720274864,3.8282499520194624,13843.566118772402,803.1690551118211,10.336034658872508,20.0,36.8140860041508,0.21363049285340846,6.868876391777694,1387.1114078733124,1.4327722405978799e-05,5.0734525576899205,786.5401996276439,3113.2271408455604,197386.8314726684,377.6148769895769,773.15,29578.893326409587,0.10423052363674733,1.4,-0.002398614242072344,0.9714732263412806,0.005973333333333333
109239.20432928899,5.77489804285797,9176.709350203835,816.9256823601165,10.376571882204006,30.0,36.8140860041508,0.32534722498266566,4.5534614675615845,1387.0874217308917,1.0039719040888505e-05,7.685612193380595,793.8056981204479,4693.68722344743,138312.864683214,378.0367664080163,773.15,19896.951003721173,0.10437380086080711,1.4,-0.0016807565358630309,0.9572810722847823,0.005973333333333333
108283.01983853332,5.8381618737807655,9077.019650565595,817.355444959178,10.40503852824179,40.0,36.8140860041508,0.32930227044370625,4.504118982268225,1387.070614165533,9.948091173984673e-06,9.417244496805825,794.038843835097,4748.681056556454,137050.54721151316,378.33271707187504,773.15,19690.50772241423,0.104474198051216,1.4,-0.0016654170492161843,0.95682333856936,0.005973333333333333
184357.6091492536,3.113695756760145,17018.89863917455,797.8773705677849,10.433295331979155,50.0,36.8140860041508,0.17398000806558428,8.44519753099185,1387.053959995041,1.724263054570191e-05,11.13011238505505,783.838635426785,2541.921757803932,237544.25952932457,378.62623069786,773.15,36167.751740896405,0.10457367896295584,1.4,-0.002886601095820632,0.9767353538664831,0.005973333333333333
152461.4927499134,3.871953864757486,13685.385373543895,803.478800647094,10.482389642429508,60.0,36.8140860041508,0.216990545828271,6.791345309300985,1387.0250939840828,1.4183612260237495e-05,14.341729955040492,786.7018703331642,3161.428192350144,195401.48835637025,379.1355893808736,773.15,29254.61023291295,0.10474610526841287,1.4,-0.0023744886596379737,0.971152303071776,0.005973333333333333
115559.46336240979,5.387847845875987,9834.563385034346,814.2486496249035,10.52288635448327,70.0,36.8140860041508,0.3041628819103655,4.880571328193337,1387.0013490974864,1.0645544031840098e-05,16.924405355958868,792.3672300965455,4397.896165000343,146659.05342155756,379.5551759764228,773.15,21265.02667411342,0.10488794139101525,1.4,-0.0017821781303303736,0.9600862740896594,0.005973333333333333
131812.4416783302,4.595762285807434,11529.228339697669,808.686750461263,10.553347887240855,80.0,36.8140860041508,0.25871389322865257,5.72174409421845,1386.983527316183,1.2203646263915794e-05,18.780434012680175,789.4156333487277,3756.8177398156704,168124.35362667442,379.87045004825217,773.15,24782.683608646552,0.10499439683133364,1.4,-0.0020430211379323317,0.9658526787395575,0.005973333333333333
123958.7644982075,4.94721407553962,10709.83152546037,811.1689584274233,10.588338188580188,90.0,36.8140860041508,0.2791976376051825,5.315269425526598,1386.9630971048036,1.1450713810158522e-05,20.956351603300963,790.7266668088758,4046.790239171051,157751.5290318824,380.23224042304594,773.15,23082.933008214546,0.1051164332939728,1.4,-0.0019169721780399314,0.9632898380164455,0.005973333333333333
137441.7982747749,4.372828147749424,12116.226104713172,807.0903355387613,10.621238090454586,100.0,36.8140860041508,0.2464204150128763,6.013448237334526,1386.9439273830233,1.2743399593759365e-05,22.97769125978414,788.5797788679689,3582.0238077610757,175560.30168148782,380.57207125120846,773.15,26002.27730199978,0.10523094043207439,1.4,-0.0021333816284195366,0.9674818820692203,0.005973333333333333
175515.60330259558,3.2922720709331705,16092.33134341963,799.1985724762586,10.657930049737944,110.0,36.8140860041508,0.18516632630816368,7.987121097740026,1386.9225935667391,1.6394562633093306e-05,25.26454079105299,784.5112140485854,2703.5438394764706,225860.79488643067,380.95067854264954,773.15,34252.860240415466,0.10535837442801198,1.4,-0.0027446254408080312,0.9754176147612724,0.005973333333333333
124234.73683499188,4.933690861052102,10737.998263899022,811.0648526509925,10.705255671372115,120.0,36.8140860041508,0.27933285511798783,5.329838544371838,1386.8951473123311,1.1477203022801187e-05,28.30195683217792,790.6733792283343,4048.698901087783,158116.45945163703,381.4384022026234,773.15,23143.72435274612,0.10552232005434291,1.4,-0.0019214067560493061,0.963388325470521,0.005973333333333333
151125.65636121092,3.911465678798006,13543.850236403405,803.750522431791,10.738467567909877,130.0,36.8140860041508,0.22080328807484642,6.722742285528955,1386.8759332447705,1.4055535370216065e-05,30.328836967482445,786.8455119521095,3216.07995958114,193637.02846596547,381.78026799602316,773.15,28967.521868351152,0.10563709208457092,1.4,-0.0023530472159959933,0.9708622541557069,0.005973333333333333
