position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,1362.3940713843444,0.98,294.35628850255125,473800.2855839524,1320.434447848638,1354.0423782756745,0,0,23478.60856820414,498599.3286000052,2.475,0.1097,1438.15,39.896898894978406,0.4866,176.29928668973017,1488.8600000000001,29.77638554195219,1273.15,0.5,5.798671508390116e-06,-0.0015259661864184515,0.0038,2.7262654494466982,0.21756717643842713,165.0065848903665,2.238999999999998,11.957375849629729,7051.730862901014
10.0,1362.3850967530527,0.98,274.52043154903123,441904.7366514308,1231.4632649790938,1354.0346144218504,0,0,21898.479403029298,465034.67931943916,2.308447411044109,0.10975798671508391,1438.134740338136,42.77542745511771,0.4866,176.3980341118708,1488.8600000000001,31.924727357336156,1273.15,0.5,5.408317241329991e-06,-0.001423241379297366,0.0038,2.726195579864848,0.23363887003630301,165.0065848903665,2.238999999999998,11.975397294963539,7563.464392309546
20.0,1362.376726372535,0.98,234.41203124160018,377366.8205043982,1051.549507506008,1354.027373225549,0,0,18700.650942702152,397119.02095460636,1.9713589751805147,0.10981206988749721,1438.120507924343,50.08972288064867,0.4866,176.49019175266648,1488.8600000000001,37.38362984325743,1273.15,0.5,4.618463403701482e-06,-0.001215385106237232,0.0038,2.7261304157148474,0.2745930175674228,165.0065848903665,2.238999999999998,11.992221458556875,8858.333117242275
30.0,1362.3695785128689,0.98,249.39204087446808,401505.85056453344,1118.75504565344,1354.0211895732734,0,0,19897.177403793932,422521.78301398084,2.0975049483179307,0.10985825452153422,1438.1083540732807,47.077278575318175,0.4866,176.5689343996555,1488.8600000000001,35.1353422433791,1273.15,0.5,4.91389555560933e-06,-0.0012931304093708764,0.0038,2.7260747699139998,0.2578424642946022,165.0065848903665,2.238999999999998,12.006600689708602,8330.394801043287
40.0,1362.3619734970239,0.98,241.93474471399105,389524.37123924727,1085.309027066396,1354.0146103761979,0,0,19303.72994594238,409913.410212256,2.034957992631042,0.10990739347709032,1438.095422769187,48.52425707196157,0.4866,176.6527586660712,1488.8600000000001,36.21527052804062,1273.15,0.5,4.767261158130678e-06,-0.0012545424100343888,0.0038,2.726015566097727,0.26606898261187284,165.0065848903665,2.238999999999998,12.021912011112866,8589.976730226765
50.0,1362.3545954950075,0.98,250.91937466837976,404014.4366126734,1125.62061701219,1354.0082275160323,0,0,20022.13000402931,425162.1872337149,2.1107028921702318,0.10995506608867163,1438.0828773450867,46.78291062724693,0.4866,176.73412556222567,1488.8600000000001,34.91564563146859,1273.15,0.5,4.944603251832258e-06,-0.0013012113820611206,0.0038,2.7259581304607745,0.25644340660077664,165.0065848903665,2.238999999999998,12.03677853983983,8286.191956072376
60.0,1362.3469431087071,0.98,249.6349741452662,401971.61899144825,1119.8659491500819,1354.0016072224907,0,0,19921.215408561224,423012.70034915954,2.1000777325374442,0.11000451212118995,1438.069865231266,47.01960467232894,0.4866,176.81856512705957,1488.8600000000001,35.0922982871148,1273.15,0.5,4.919604886130228e-06,-0.0012946328647711128,0.0038,2.725898559770991,0.25789382866385896,165.0065848903665,2.238999999999998,12.052210707258554,8332.01733445499
70.0,1362.3393294886516,0.98,257.2914672961594,414326.2788739378,1154.220391798466,1353.9950204081688,0,0,20533.828571171623,436014.3278369079,2.164672336061172,0.11005370817005125,1438.0569189026182,45.616522704192356,0.4866,176.90262412486922,1488.8600000000001,34.04513144489553,1273.15,0.5,5.070812805097144e-06,-0.0013344244223939853,0.0038,2.7258392918209218,0.2501698961455064,165.0065848903665,2.238999999999998,12.067577596153704,8087.783922784591
80.0,1362.3314819396169,0.98,251.4085982660553,404878.94417314854,1127.8369462630214,1353.9882311524245,0,0,20065.95673546983,426072.7378548814,2.1153629133833918,0.11010441629810222,1438.0435746583944,46.67985060168014,0.4866,176.98931514099112,1488.8600000000001,34.838728499053914,1273.15,0.5,4.955192884912452e-06,-0.00130399812760854,0.0038,2.725778203861715,0.2562461987308011,165.0065848903665,2.238999999999998,12.083430104908953,8279.959921165308
90.0,1362.3238134030753,0.98,245.79982121786614,395871.24720939726,1102.6825898785432,1353.9815967082297,0,0,19619.85085285098,416593.7806521268,2.068347149748456,0.11015396822695135,1438.0305346771183,47.740933999923804,0.4866,177.07407700413768,1488.8600000000001,35.63065040860977,1273.15,0.5,4.844953348057886e-06,-0.001274987723173128,0.0038,2.725718510379063,0.26232250131609586,165.0065848903665,2.238999999999998,12.098934214025606,8471.830212334657
100.0,1362.3163155470663,0.98,259.8981266162598,418602.9352262255,1165.9362472157584,1353.97510987123,0,0,20746.790278050015,440515.6617514913,2.1871637689653727,0.11020241776043194,1438.0177847998866,45.147430734819785,0.4866,177.15699856730996,1488.8600000000001,33.695032471753805,1273.15,0.5,5.123162969293183e-06,-0.0013482007813929429,0.0038,2.7256601464487438,0.24791382475106272,165.0065848903665,2.238999999999998,12.11410588018812,8016.354466994307
